iter	Passed	Remaining
0	0	94
1	1	80
2	2	71
3	2	67
4	3	67
5	4	68
6	5	68
7	5	67
8	6	66
9	7	65
10	7	63
11	8	62
12	9	61
13	9	60
14	10	58
15	10	57
16	11	56
17	12	55
18	12	54
19	13	53
20	14	52
21	14	51
22	15	51
23	15	50
24	16	49
25	17	48
26	17	48
27	18	47
28	19	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	40
37	24	40
38	25	39
39	25	38
40	26	38
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	33
48	31	32
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	41	22
65	42	21
66	43	21
67	43	20
68	44	19
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	53	10
83	54	10
84	54	9
85	55	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	61	3
95	61	2
96	62	1
97	62	1
98	63	0
99	63	0
